,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹)
277,Acer,Acer A515-56 Aspire 5 Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,48999
278,HP,HP Pavilion 15-eg2035TU Laptop ,8GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,72999
279,Acer,Acer SF314-511 Swift 3 Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,59750
280,Apple,Apple Z124 MacBook Air ,8GB,256GB,Apple M1 Chip,High End Laptop,Apple M1 Chip,Solid State Drive,112900
281,Asus,Asus K2067TS ROG Zephyrus G14 Gaming Laptop ,8GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72999
282,Asus,Asus L513WS VivoBook K15 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64999
283,Apple,Apple MNEH3HNA MacBook Pro ,8GB,512GB,Apple M2 chip,High End Laptop,Apple M2 Chip,Solid State Drive,129900
284,Apple,Apple MNEJ3HNA MacBook Pro ,8GB,512GB,Apple M2 chip,High End Laptop,Apple M2 Chip,Solid State Drive,149900
285,Apple,Apple MNEH3HNA MacBook Pro ,8GB,256GB,Apple M2 chip,High End Laptop,Apple M2 Chip,Solid State Drive,129900
286,Asus,Asus K2331TS ROG Zephyrus G14 Gaming Laptop ,16GB,1TB SSD,AMD Ryzen 9,High End Laptop,AMD,Solid State Drive,142999
287,Asus,Asus EC312WS VivoBook Flip 14 Convertible Laptop,8GB,512GB SSD,11th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,51999
288,Asus,Asus KM531WS ZenBook 14 Laptop ,16GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,89999
289,Dell,Dell G15 Gaming Laptop ,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,112999
290,Dell,Dell 5410 Inspiron 14 2-in-1 Convertible Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,53999
291,Dell,Dell 5511 G15 Gaming Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,77999
292,Asus,Asus LD123WS ROG Flow Z13 Gaming Laptop ,16GB,512GB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,171999
293,Dell,Dell 5410 Inspiron 14 2-IN-1 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,79499
294,Asus,Asus HP702WS ZenBook Flip 13 2-in-1 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,106999
295,Lenovo,Lenovo 8JIN IdeaPad Slim 3 Laptop ,4GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,30999
296,HP,HP Pavilion 14-dv1001TU laptop,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990
297,HP,HP 14s-dr4000TU Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53999
298,Dell,Dell G15 5511 Gaming Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,75999
299,Asus,Asus HN036WS TUF Dash F15 Gaming Laptop ,8GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,90999
300,Asus,Asus LD049WS ROG Flow Z13 Gaming Laptop ,8GB,512GB SSD,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,136999
301,HP,HP 14-dv1002TU Pavilion Thin & Light Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67400
302,HP,HP 15s-du3039TU Laptop ,8GB,1TB HDD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,39999
303,Lenovo,Lenovo UXIN IdeaPad Gaming 3 Laptop ,8GB,1TB HDD,AMD Ryzen 5,Mid Range Laptop,AMD,Hard Disk Drive,63990
304,Lenovo,Lenovo 5JIN Yoga 9 Convertible Laptop ,16GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,174999
305,Lenovo,Lenovo Legion 5 Pro 16ITH6H Laptop ,16GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,159999
306,HP,HP 15s-du3060TX Laptop ,8GB,1TB HDD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,59499
307,Lenovo,Lenovo K0IN IdeaPad Slim 5i Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64990
308,Lenovo,Lenovo ADIN IdeaPad Slim 5 Laptop ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,59499
309,Asus,Asus EJ311TS Laptop ,4GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,29980
310,HP,HP 14a-na0003tu ChromeBook ,4GB,64GB eMMC,Intel Celeron,Budget Laptop,Intel,Embedded Multimedia Card,24999
311,HP,HP 16-e0075AX Victus Gaming Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62999
312,Asus,Asus EJ562WS Laptop ,16GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,45999
313,HP,HP 15-EC2150AX Pavilion Gaming Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62999
314,Lenovo,Lenovo L2IN IdeaPad 3 Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,37499
315,Asus,Asus EK003W Laptop ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,27499
316,Asus,Asus EK342WS Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,34999
317,Asus,Asus Vivobook 14 EB342WS Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,33990
318,Lenovo,Lenovo EFIN Ideapad 3 Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,35990
319,Lenovo,Lenovo B0IN Ideapad 3 Laptop ,8GB,512GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,36980
320,Asus,Asus BV311T VivoBook 14 Laptop ,8GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,28990
321,Lenovo,Lenovo E6IN Ideapad Slim 3 Laptop ,8GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,32499
322,Lenovo,Lenovo FBIN Ideapad Slim 3 Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,37499
323,Lenovo,Lenovo 95IN Ideapad 1 Laptop ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,23890
324,HP,HP 14-dy0186TU Pavilion x360 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,54999
325,Lenovo,Lenovo 94IN IdeaPad Flex 5 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,55499
326,Lenovo,Lenovo B1IN IdeaPad 3 Laptop ,8GB,512GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,36999
327,Asus,Asus EB572WS X415 Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,49999
328,Lenovo,Lenovo K8IN IdeaPad Slim 3i Laptop ,16GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,38999
329,Lenovo,Lenovo D330 IdeaPad 1YIN 2-in-1 Convertible Laptop ,4GB,128GB eMMC,Intel Celeron,Budget Laptop,Intel,Embedded Multimedia Card,20999
330,Asus,Asus E410 Eeebook ,8GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,27499
331,Lenovo,Lenovo 7KIN IdeaPad Slim 3i Laptop ,4GB,256GB,Intel Celeron,Budget Laptop,Intel,Solid State Drive,27990
332,Acer,Acer A314-35 Aspire 3 Laptop ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,26699
333,Lenovo,Lenovo V1IN IdeaPad 3 Laptop ,4GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,52999
334,HP,HP 15s-eq2144au Laptop ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,46999
335,HP,HP 14s-dr2512TU Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,37499
336,HP,HP 14s-dr2514TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,42999
337,HP,HP 15S-FR2508TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,41999
338,Hp,Hp 15s-fq2628TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,41999
339,Lenovo,Lenovo E5IN IdeaPad Silm 3i Laptop ,4GB,512GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,36999
340,HP,HP 14s-dq3033TU Laptop ,8GB,256GB SSD,Intel Pentium Silver N6000,Budget Laptop,Intel,Solid State Drive,31948
341,Hp,Hp 15s-fr5001TU Laptop ,8GB,512GB SSD,12th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,60999
342,Lenovo,Lenovo IdeaPad 3 MQIN Laptop ,8GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,29990
343,HP,HP 14s-fq1089AU Laptop ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,40999
344,Lenovo,Lenovo IdeaPad Slim 3 Standard Laptop ,8GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,32999
345,HP,HP 15-EH2018AU Pavilion Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,56999
346,HP,HP 14-DY0207TU Pavilion x360 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,57999
347,HP,HP 14-DY1049TU Pavilion x360 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,74999
348,HP,HP 15-DU3519TX Pavilion Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,63999
349,Acer,Acer 15 Nitro 5 Gaming Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,61990
350,Asus,Asus BV322WS VivoBook 14 Laptop ,8GB,512GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,35999
351,Asus,Asus BQ301WS VivoBook 15 Laptop ,8GB,256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,34299
352,HP,HP Pavilion 15-ec2144AX Gaming Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,66999
353,Lenovo,Lenovo ARIN Ideapad G3 Gaming Laptop ,4GB,512GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,57999
354,Asus,Asus EJ312WS Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,34999
355,MSI,MSI Modern 14 B10MW Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,44499
356,MSI,MSI Modern 14 B10MW Laptop ,4GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,31490
357,Asus,Asus AU521WS Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,54999
358,Asus,Asus EB372WS VivoBook 14 Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,41999
359,Asus,Asus EB502WS Laptop ,8GB,256GB SSD,11th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,43999
360,Acer,Acer EX215 Extensa 15 Laptop ,4GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,30990
361,HP,HP 15S-FQ4021TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,52999
362,Samsung,Samsung Galaxy Book2 Pro Laptop ,8GB,512GB,12th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,106999
363,HP,HP 14s-dq3032tu Thin & Light Laptop ,8GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,30990
364,Lenovo,Lenovo 8EIN Ideapad Silm 3i Laptop ,8GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,32999
365,Lenovo,Lenovo V2IN IdeaPad Slim 3i Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,40999
366,Asus,Asus BV341T Vivobook 14 Laptop ,8GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,31649
367,Lenovo,Lenovo 41IN IdeaPad Slim 3 Laptop ,4GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,31490
368,HP,HP 15s-eq2143AU Laptop ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,38999
369,HP,HP 14s-fq1092AU Laptop ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47999
370,HP,HP 15s-fq4022TU Laptop ,8GB,512GB SSD + 32GB Intel Optane Memory,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive & Intel Optane Memory,51990
371,HP,HP 14-DQ2606TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,41999
372,Lenovo,Lenovo IdeaPad 3i 8YIN Laptop ,8GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,32999
373,Asus,Asus VivoBook 15 EJ502WS Laptop ,8GB,512GB SSD,12th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,57999
374,HP,HP 15s-fq2626TU Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,36490
375,HP,HP 15s-fq2627TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,39990
376,Asus,Asus Vivobook 14 Laptop ,8GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,28999
377,Apple,Apple MGN63HNA MacBook Air ,8GB,256GB,Apple M1 Chip,High End Laptop,Apple M1 Chip,Solid State Drive,92900
378,Apple,Apple MYD82HNA MacBook Pro ,8GB,256GB,Apple M1 Chip,High End Laptop,Apple M1 Chip,Solid State Drive,106699
379,Lenovo,Lenovo 93IN IdeaPad 3 Laptop ,8GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,33999
380,Asus,Asus BQ512TS Vivobook Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,53999
381,Apple,Apple MGND3HNA MacBook Air ,8GB,256GB,Apple M1 Chip,High End Laptop,Apple M1 Chip,Solid State Drive,92900
382,Asus,Asus HN362WS TUF F15 Gaming Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,79999
383,Apple,Apple MBPMKGP3HNA MacBook Pro ,16GB,512GB,Apple M1 Pro chip,High End Laptop,Apple M1 Pro Chip,Solid State Drive,183206
384,Microsoft,Microsoft 1XF-00013 Surface Pro 7+ Convertible Laptop ,8GB,128GB SSD,11th Gen Intel Core i3,High End Laptop,Intel,Solid State Drive,83999
385,Lenovo,Lenovo 7EIN IdeaPad Slim 3i Laptop ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47999
386,HP,HP 14-ED0007QU Laptop ,16GB,128GB eMMC,Qualcomm Snapdragon 7C,Budget Laptop,Qualcomm Snapdragon,Embedded Multimedia Card,39999
387,HP,HP ENVY x360 E13-BD1003TU Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,96999
388,Asus,Asus HQ030WS TUF Dash F15 Gaming Laptop ,8GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,164999
389,Lenovo,Lenovo J1IN IdeaPad Slim 3i Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,50999
390,Lenovo,Lenovo EBIN IdeaPad Slim 3i Laptop ,8GB,512GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,36999
391,Lenovo,Lenovo A3IN IdeaPad G3 Gaming Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,75999
392,Lenovo,Lenovo 49IN IdeaPad 1 Laptop ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,39499
393,Dell,Dell 3511 Inspiron 15 ,8GB,1TB HDD + 256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,45199
394,Microsoft,Microsoft 34.29 cm (13.5 inch) Surface Laptop,8GB,128GB SSD,10th Gen Intel Core i5,High End Laptop,AMD,Solid State Drive,91990
395,Apple,Apple MacBook Pro MWP52HNA,16GB,1TB,Apple M2 chip,High End Laptop,Apple M2 Chip,Solid State Drive,189053
396,Asus,Asus ExpertBook P1 (P1440FA) Laptop,8GB,1TB HDD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,62999
397,HP,HP 15-ek0019TX Omen Gaming Laptop,16GB,1TB HDD,10th Gen Intel Core i7,High End Laptop,Intel,Hard Disk Drive,101199
398,HP,HP 15-ek0025TX Omen Gaming Laptop,8GB,512GB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,73999
399,Dell,Dell 3501 Inspiron 3000 Laptop,8GB,1TB HDD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,41999
400,Dell,Dell 3501 Inspiron 3000 Laptop,8GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,39999
401,Asus,Asus KA711TS ZenBook Duo (2021) Laptop,16GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,AMD,Solid State Drive,138999
402,HP,HP 15-ec1023AX Pavilion Gaming Laptop,8GB,1TB HDD + 256GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Hard Disk Drive & Solid State Drive,61999
403,HP,HP 15-ec1106AX Pavilion Gaming Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,63999
404,HP,HP 15s-FQ2076TU Laptop,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,52999
405,HP,HP 15-DK2075TX Pavilion Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,83999
406,HP,HP 16d0300TX Victus Gaming Laptop,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,74999
407,HP,HP 16d0005TX Victus Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,100999
408,Asus,Asus K6464TS ROG Flow X13 Gaming Laptop,16GB,1TB SSD,AMD Ryzen 9,High End Laptop,AMD,Solid State Drive,112999
409,Dell,Dell 5415 Vostro 14 Laptop,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,57999
410,Lenovo,Lenovo P4IN Legion 5 Gaming Laptop,8GB,256GB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,72490
411,Dell,Dell 9305 XPS 13 Laptop,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,115999
412,Dell,Dell 5310 Inspiron 13 Gaming Laptop,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,92499
413,Asus,Asus KG701TS Zenbook 13 Laptop,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72499
414,Lenovo,Lenovo 4DIN Legion 5 Gaming Laptop,8GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,89499
415,VAIO,VAIO E15 V2IN007P Laptop,8GB,512GB SSD,AMD Ryzen R5,Budget Laptop,AMD,Solid State Drive,48999
416,AVITA,AVITA Liber V14 A8INR672-MB Laptop,16GB,1TB SSD,10th Gen Intel Core i7,Mid Range Laptop,Intel,Solid State Drive,58999
417,HP,HP 15-ec1051AX Pavilion Gaming Laptop,8GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,72999
