,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹),Website,Ram - b,Processor Type - b,Price Category - b
0,Lenovo,Lenovo DFIN Yoga Slim 7 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,81999,RelianceDigital.com,2,0,0
1,Dell,Dell 3400 Vostro 14 Laptop ,4GB,1TB HDD + 256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,45999,RelianceDigital.com,0,0,1
2,Asus,Asus KG512S Laptop ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,67999,RelianceDigital.com,2,1,2
3,Asus,Asus KG711TS Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72499,RelianceDigital.com,2,1,0
4,Microsoft,Microsoft 5UI-00023 Surface 4 Laptop ,8GB,256GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,130990,RelianceDigital.com,1,1,0
5,Microsoft,Microsoft 5PB-00023 Surface 4 Laptop ,8GB,256GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,99990,RelianceDigital.com,1,1,0
6,Dell,Dell 3515 Inspiron 15 Standard Laptop ,8GB,256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,38999,RelianceDigital.com,1,1,1
7,Dell,Dell 3515 Inspiron 15 Standard Laptop ,8GB,512GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,42999,RelianceDigital.com,1,1,1
8,Dell,Dell 3511 Inspiron 15 Standard Laptop ,8GB,1TB HDD,11th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,40999,RelianceDigital.com,1,0,1
9,Dell,Dell 3405 Vostro 14 Laptop ,8GB,256GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,45799,RelianceDigital.com,1,1,1
10,Dell,Dell 3511 Inspiron 15 Standard Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,58999,RelianceDigital.com,1,0,2
11,Dell,Dell 3511 Inspiron 15 Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,63499,RelianceDigital.com,1,0,2
12,Lenovo,Lenovo 13IN IdeaPad 3i Laptop ,4GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,31999,RelianceDigital.com,0,0,1
13,Lenovo,Lenovo 2EIN IdeaPad 3i Laptop ,8GB,256GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,32999,RelianceDigital.com,1,0,1
14,HP,HP Envy x360 E13-AY0508AU Convertible Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,91999,RelianceDigital.com,2,1,0
15,HP,HP Envy 13-ba1501TX Laptop ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,77999,RelianceDigital.com,2,0,0
16,HP,HP Pavilion 15-DK2076TX Gaming Laptop ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,90999,RelianceDigital.com,2,0,0
17,Lenovo,Lenovo 2EHA IdeaPad Slim 3i Laptop ,4GB,64GB eMMC 5.1,Intel Celeron,Budget Laptop,Intel,Embedded Multimedia Card,16999,RelianceDigital.com,0,0,1
18,Lenovo,Lenovo 12HA IdeaPad Flex 3i Laptop ,4GB,128GB eMMC 5.1,Intel Celeron,Budget Laptop,Intel,Embedded Multimedia Card,23499,RelianceDigital.com,0,0,1
19,Lenovo,Lenovo DGIN IdeaPad Slim 3i Laptop ,8GB,256GB SSD,Intel Core i5,Budget Laptop,Intel,Solid State Drive,46999,RelianceDigital.com,1,0,1
20,HP,HP Pavilion 14-EC0000AX Laptop ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62999,RelianceDigital.com,2,1,2
21,Acer,Acer NX.A1GSI.00D Aspire 5 Laptop ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53999,RelianceDigital.com,1,0,2
22,HP,HP Pavilion 14-EC0033AU Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,58999,RelianceDigital.com,1,1,2
23,HP,HP 33.78 cm ,16GB,16 GB,Intel Core i7,High End Laptop,Intel,Solid State Drive,161999,RelianceDigital.com,2,0,0
24,HP,HP 16d0351TX Victus Gaming Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,87999,RelianceDigital.com,2,0,0
25,HP,HP 16d0360TX Victus Gaming Laptop ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,108999,RelianceDigital.com,2,0,0
26,Lenovo,Lenovo 4DIN Ideapad Gaming 3i Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,73999,RelianceDigital.com,1,0,0
27,HP,HP 13-BE0030AU Pavilion Aero Laptop ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,65999,RelianceDigital.com,2,1,2
28,Asus,Asus HN272T TUF F15 Gaming Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,63990,RelianceDigital.com,1,0,2
29,Lenovo,Lenovo G0IN IdeaPad 3i Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,39499,RelianceDigital.com,1,0,1
30,Dell,Dell 3400 Vostro Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,57999,RelianceDigital.com,1,0,2
31,Dell,Dell 9310 XPS Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,140999,RelianceDigital.com,1,0,0
32,HP,HP 15S-GR0012AU Laptop ,8GB,1TB HDD + 256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Hard Disk Drive & Solid State Drive,41499,RelianceDigital.com,1,1,1
33,AVITA,AVITA Liber V14 A8INF561-GB Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,46999,RelianceDigital.com,1,0,1
34,AVITA,AVITA Liber V14 A8INF562-CS Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,46999,RelianceDigital.com,1,0,1
35,Dell,Dell 3501 Inspiron Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,57999,RelianceDigital.com,1,0,2
36,Dell,Dell 3501 Inspiron Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,64999,RelianceDigital.com,1,0,2
37,HP,HP 15s-fq2071TU Laptop ,8GB,512GB SSD + 32GB Intel Optane Memory,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive & Intel Optane Memory,57999,RelianceDigital.com,1,0,2
38,Lenovo,Lenovo E0IN Yoga 7 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,98999,RelianceDigital.com,2,0,0
39,Lenovo,Lenovo CTIN Yoga 7 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,81990,RelianceDigital.com,2,0,0
40,Dell,Dell 5310 Inspiron 13 Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,65499,RelianceDigital.com,1,0,2
41,Lenovo,Lenovo CVIN IdeaPad Slim 3i Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,61190,RelianceDigital.com,1,0,2
42,Lenovo,Lenovo P2IN Legion 5 Gaming Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,71490,RelianceDigital.com,1,0,0
43,Asus,Asus HQ008TS ROG Strix G15 ,16GB,1TB SSD,AMD Ryzen 9,High End Laptop,AMD,Solid State Drive,154999,RelianceDigital.com,2,1,0
44,Asus,Asus BQ562TS Laptop ,8GB,512GB SSD + 32GB Intel Optane Memory,11th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive & Intel Optane Memory,49999,RelianceDigital.com,1,0,1
45,Asus,Asus EB562TS Laptop ,8GB,512GB SSD + 32GB Intel Optane Memory,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive & Intel Optane Memory,52999,RelianceDigital.com,1,0,2
46,Asus,Asus BV301TS Laptop ,4GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,26999,RelianceDigital.com,0,0,1
47,Asus,Asus K2066TS ROG Zephyrus G14 Gaming Laptop ,8GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,72999,RelianceDigital.com,1,1,0
48,Lenovo,Lenovo W6IN IdeaPad Flex 5 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,58499,RelianceDigital.com,1,0,2
49,Lenovo,Lenovo JCIN Legion 5 Pro Gaming Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,144999,RelianceDigital.com,2,1,0
50,Lenovo,Lenovo 7KIN IdeaPad 3 Laptop ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47999,RelianceDigital.com,1,1,1
51,HP,HP 15-eg1001TU Pavilion Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,61999,RelianceDigital.com,1,0,2
52,Asus,Asus EB522TS Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,47999,RelianceDigital.com,1,0,1
53,Asus,Asus EK562WS Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,48999,RelianceDigital.com,1,0,1
54,Asus,Asus KM053WS Vivobook Pro 14X Gaming Laptop ,16GB,1TB SSD,AMD Ryzen 9,High End Laptop,AMD,Solid State Drive,101999,RelianceDigital.com,2,1,0
55,Acer,Acer A314-22 Aspire 3 Laptop ,4GB,1TB HDD,AMD 3020e,Budget Laptop,AMD,Hard Disk Drive,24990,RelianceDigital.com,0,1,1
56,Acer,Acer A514-54 Aspire 5 Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,51890,RelianceDigital.com,1,0,2
57,Asus,Asus KA501WS TUF A17 ZenBook Duo Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,96999,RelianceDigital.com,1,0,0
58,Asus,Asus BQ511WS VivoBook 15 Laptop ,8GB,256GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,41990,RelianceDigital.com,1,0,1
59,Asus,Asus HF068WS TUF F15 Gaming Laptop ,16GB,1TB SSD,12th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,142999,RelianceDigital.com,2,0,0
60,Asus,Asus HX020W ROG Strix G17 Gaming Laptop ,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,109999,RelianceDigital.com,2,1,0
61,HP,HP Pavilion 15-EG1000TX Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,70999,RelianceDigital.com,2,0,0
62,HP,HP Pavilion 14-ec0037AU Laptop,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,60400,RelianceDigital.com,2,1,2
63,Lenovo,Lenovo DYIN Yoga 7 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,78999,RelianceDigital.com,2,0,0
64,Dell,Dell 3400 Vostro 14 Laptop ,8GB,512GB SSD,11th Gen Intel Core Core i3,Mid Range Laptop,Intel,Solid State Drive,62499,RelianceDigital.com,1,0,2
65,Asus,Asus KA711WS ZenBook Duo Laptop ,16GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,137999,RelianceDigital.com,2,0,0
66,Lenovo,Lenovo 05IN IdeaPad 3 Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,50999,RelianceDigital.com,1,0,2
67,Asus,Asus HY777TS ZenBook Duo ,16GB,1TB SSD,11th Gen Intel Core i7,High End Laptop,AMD,Solid State Drive,121999,RelianceDigital.com,2,1,0
68,HP,HP 13-bd0004TU Envy x360 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,84999,RelianceDigital.com,1,0,0
69,Lenovo,Lenovo 22IN IdeaPad Slim 5i Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990,RelianceDigital.com,2,0,2
70,Lenovo,Lenovo 3VIN IdeaPad Slim 5i Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,74990,RelianceDigital.com,2,0,0
71,HP,HP 14s-er0503TU Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,53999,RelianceDigital.com,1,0,2
72,HP,HP 16d0003TX Victus Gaming Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,80499,RelianceDigital.com,1,0,0
73,Lenovo,Lenovo KYIN IdeaPad Slim 3i Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,60999,RelianceDigital.com,1,0,2
74,HP,HP 15-dk1508TX Pavilion Gaming Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,68999,RelianceDigital.com,1,0,2
75,Lenovo,Lenovo 8DIN IdeaPad Gaming 3i Laptop ,8GB,1TB HDD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,58990,RelianceDigital.com,1,0,2
76,Lenovo,Lenovo 93IN IdeaPad Gaming 3i Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,67990,RelianceDigital.com,1,0,2
77,HP,HP 13-ay0046AU Convertible Laptop ,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,96999,RelianceDigital.com,2,1,0
78,AVITA,AVITA A2INC44AMB Essential Laptop ,4GB,256GB SSD,Intel Celeron,Budget Laptop,Intel,Solid State Drive,22999,RelianceDigital.com,0,0,1
79,HP,HP 15-EC1048AX Pavilion Gaming Laptop ,8GB,1TB HDD + 256GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Hard Disk Drive & Solid State Drive,66999,RelianceDigital.com,1,1,2
80,HP,HP 15-dk1511TX Pavilion Gaming Laptop ,16GB,512GB SSD,10th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,89999,RelianceDigital.com,2,0,0
81,HP,HP 15-eg1000TU Pavilion Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,61999,RelianceDigital.com,1,0,2
82,HP,HP 13-BE0208AU Pavilion Aero Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,81999,RelianceDigital.com,2,1,0
83,HP,HP 4s-fq1083AU Laptop ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,56999,RelianceDigital.com,1,1,2
84,Lenovo,Lenovo 75IN IdeaPad Slim 3 Pro Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,54999,RelianceDigital.com,2,0,2
85,Dell,Dell 3511 Inspiron 15 Gaming Laptop ,8GB,1TB + 256GB Hybrid,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hybrid,64999,RelianceDigital.com,1,0,2
86,Asus,Asus EK562WS Laptop ,16GB,512GB SSD,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,35999,RelianceDigital.com,2,0,1
87,Lenovo,Lenovo MPIN IdeaPad 3 Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,51999,RelianceDigital.com,1,1,2
88,Lenovo,Lenovo 4HIN Yoga 7 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,98999,RelianceDigital.com,2,0,0
89,Microsoft,Microsoft Surface Laptop Go ,8GB,256GB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,75990,RelianceDigital.com,1,0,0
90,Lenovo,Lenovo L3IN IdeaPad 3 Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,35999,RelianceDigital.com,1,0,1
91,Microsoft,Microsoft Surface Laptop Go ,8GB,128GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64890,RelianceDigital.com,1,0,2
92,Lenovo,Lenovo QTIN IdeaPad L340 Gaming Laptop ,8GB,1TB HDD,9th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,55999,RelianceDigital.com,1,0,2
93,Lenovo,Lenovo KLIN IdeaPad Slim 3i Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,38499,RelianceDigital.com,1,0,1
94,HP,HP 14s-DQ2535TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,55999,RelianceDigital.com,1,0,2
95,HP,HP 15s-DR3500TX Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64999,RelianceDigital.com,1,0,2
96,HP,HP 14s-DR2016TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,58999,RelianceDigital.com,1,0,2
97,Asus,Asus HN256T TUF Gaming F15 Gaming Laptop ,16GB,512GB SSD,10th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66999,RelianceDigital.com,2,0,2
98,Dell,Dell Inspiron 15-G3 3500 Gaming Laptop ,8GB,512GB SSD,10th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,87999,RelianceDigital.com,1,0,0
99,HP,HP Firefly G7 ZBook Laptop ,8GB,1TB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,96499,RelianceDigital.com,1,0,0
100,HP,HP Firefly G7 ZBook Laptop ,8GB,1TB SSD,10th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,92999,RelianceDigital.com,1,0,0
101,Lenovo,Lenovo BQIN IdeaPad 5 Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,64990,RelianceDigital.com,1,0,2
102,HP,HP 15S-du3032TU Laptop ,8GB,1TB HDD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,54999,RelianceDigital.com,1,0,2
103,Apple,Apple MGN73HNA MacBook Air ,8GB,512GB,Apple M1 Chip,High End Laptop,Apple,Solid State Drive,110095,RelianceDigital.com,1,2,0
104,Apple,Apple MYD92HNA MacBook Pro ,8GB,512GB,Apple M1 Chip,High End Laptop,Apple,Solid State Drive,131435,RelianceDigital.com,1,2,0
105,Lenovo,Lenovo BPIN IdeaPad 5 Laptop ,8GB,1TB HDD + 256GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Hard Disk Drive & Solid State Drive,72990,RelianceDigital.com,1,0,0
106,HP,HP 14s-DR2007TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,74999,RelianceDigital.com,1,0,0
107,Asus,Asus ExpertBook P1 ,4GB,1TB,10th Gen Intel Core i3,Budget Laptop,AMD,Hard Disk Drive,45999,RelianceDigital.com,0,1,1
108,HP,HP 13-ay0045AU Envy x360 Laptop ,8GB,512GB SSD,AMD Ryzen R5,High End Laptop,AMD,Solid State Drive,70999,RelianceDigital.com,1,1,0
109,HP,HP 15s-du3564TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,43299,RelianceDigital.com,1,0,1
110,HP,HP 15s-du3563TU Laptop ,8GB,512GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,42999,RelianceDigital.com,1,0,1
111,Realme,Realme RMNB1002 Book Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,59999,RelianceDigital.com,1,0,2
112,Realme,Realme RMNB1002 Book Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,59999,RelianceDigital.com,1,0,2
113,Realme,Realme RMNB1001 Book Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,46999,RelianceDigital.com,1,0,1
114,Realme,Realme RMNB1001 Book Laptop ,8GB,256GB SSD,11th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive,46999,RelianceDigital.com,1,0,1
115,Asus,Asus L1262TS Vivobook Pro 15 Gaming Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,92999,RelianceDigital.com,2,1,0
116,Asus,Asus EK701WS VivoBook 14 Laptop ,16GB,512GB SSD,10th Gen Intel Core i7,Mid Range Laptop,Intel,Solid State Drive,55499,RelianceDigital.com,2,0,2
117,Dell,Dell 5518 Inspiron 15 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,73499,RelianceDigital.com,2,0,0
118,Asus,Asus EJ362WS VivoBook 15 Laptop ,8GB,512GB SSD + 32GB Intel Optane Memory,10th Gen Intel Core i3,Budget Laptop,Intel,Solid State Drive & Intel Optane Memory,36990,RelianceDigital.com,1,0,1
119,Asus,Asus LQ122WS Vivobook 13 Slate Laptop ,4GB,128GB eMMC,Intel Pentium Silver N6000,Budget Laptop,Intel,Embedded Multimedia Card,41799,RelianceDigital.com,0,0,1
120,Asus,Asus LQ121WS Vivobook 13 Slate Laptop ,4GB,128GB eMMC,Intel Pentium Silver N6000,Mid Range Laptop,Intel,Embedded Multimedia Card,51999,RelianceDigital.com,0,0,2
121,Asus,Asus LQ111WS Vivobook 13 Slate Laptop ,8GB,256GB eMMC,Intel Pentium Silver N6000,Mid Range Laptop,Intel,Embedded Multimedia Card,53499,RelianceDigital.com,1,0,2
122,Dell,Dell 5518 Inspiron 15 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66999,RelianceDigital.com,2,0,2
123,Lenovo,Lenovo 8YIN IdeaPad Flex 5 Convertible Laptop ,8GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,66999,RelianceDigital.com,1,0,2
124,Dell,Dell 5518 Inspiron 15 Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,68999,RelianceDigital.com,2,0,2
125,Asus,Asus HP562WS Zenbook Flip 13 2-in-1 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i5,High End Laptop,Intel,Solid State Drive,85499,RelianceDigital.com,2,0,0
126,HP,HP 15-eh1101AU Pavilion Laptop ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,57999,RelianceDigital.com,1,1,2
127,AVITA,AVITA A8INF561 Liber V14 Laptop ,8GB,512GB SSD,10th Gen Intel Core i5,Budget Laptop,Intel,Solid State Drive,47999,RelianceDigital.com,1,0,1
128,Asus,Asus BV301T Laptop ,4GB,1TB HDD,10th Gen Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,25999,RelianceDigital.com,0,0,1
129,Lenovo,Lenovo D1IN IdeaPad 5 Pro Laptop ,16GB,1TB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,78499,RelianceDigital.com,2,1,0
130,Lenovo,Lenovo HWIN Yoga 7 Convertible Laptop ,16GB,512GB SSD,11th Gen Intel Core i7,High End Laptop,Intel,Solid State Drive,92999,RelianceDigital.com,2,0,0
